[2025/04/04 14:03:56] [MOCK WS] 接続: ws://localhost:9000
[2025/04/04 14:03:56] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:00, minute=2025-04-03 15:35:00
[2025/04/04 14:03:56] [INFO] 2025/04/03 15:35:00 に fill_missing_minutes を呼び出します。
[2025/04/04 14:03:56] [DEBUG] fill_missing_minutes() 呼び出し
[2025/04/04 14:03:56] [DEBUG] last_ohlc.ohlc_time = 2025-04-03 15:35:00
[2025/04/04 14:03:56] [DEBUG] current_minute = 2025-04-03 15:35:00
[2025/04/04 14:03:56] [DEBUG] self.last_written_minute = None
[2025/04/04 14:03:56] [DEBUG][fill_missing_minutes] 補完不要: now=2025-04-03 15:35:00, current=2025-04-03 15:35:00, last_written_minute=None
[2025/04/04 14:03:56] [警告] 対象CSVファイルが見つかりませんでした
[2025/04/04 14:03:56] [DEBUG] dfはNoneまたは空でした
[2025/04/04 14:04:00] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:03, minute=2025-04-03 15:35:00
[2025/04/04 14:04:00] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:04, minute=2025-04-03 15:35:00
[2025/04/04 14:04:01] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:04, minute=2025-04-03 15:35:00
[2025/04/04 14:04:01] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:04, minute=2025-04-03 15:35:00
[2025/04/04 14:04:01] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:04, minute=2025-04-03 15:35:00
[2025/04/04 14:04:01] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:04, minute=2025-04-03 15:35:00
[2025/04/04 14:04:01] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:04, minute=2025-04-03 15:35:00
[2025/04/04 14:04:01] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:04, minute=2025-04-03 15:35:00
[2025/04/04 14:04:01] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:04, minute=2025-04-03 15:35:00
[2025/04/04 14:04:01] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:04, minute=2025-04-03 15:35:00
[2025/04/04 14:04:01] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:05, minute=2025-04-03 15:35:00
[2025/04/04 14:04:02] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:05, minute=2025-04-03 15:35:00
[2025/04/04 14:04:02] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:05, minute=2025-04-03 15:35:00
[2025/04/04 14:04:02] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:05, minute=2025-04-03 15:35:00
[2025/04/04 14:04:02] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:05, minute=2025-04-03 15:35:00
[2025/04/04 14:04:02] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:05, minute=2025-04-03 15:35:00
[2025/04/04 14:04:02] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:06, minute=2025-04-03 15:35:00
[2025/04/04 14:04:02] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:06, minute=2025-04-03 15:35:00
[2025/04/04 14:04:02] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:06, minute=2025-04-03 15:35:00
[2025/04/04 14:04:02] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:06, minute=2025-04-03 15:35:00
[2025/04/04 14:04:03] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:06, minute=2025-04-03 15:35:00
[2025/04/04 14:04:03] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:06, minute=2025-04-03 15:35:00
[2025/04/04 14:04:03] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:07, minute=2025-04-03 15:35:00
[2025/04/04 14:04:03] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:07, minute=2025-04-03 15:35:00
[2025/04/04 14:04:03] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:07, minute=2025-04-03 15:35:00
[2025/04/04 14:04:03] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:07, minute=2025-04-03 15:35:00
[2025/04/04 14:04:03] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:07, minute=2025-04-03 15:35:00
[2025/04/04 14:04:03] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:07, minute=2025-04-03 15:35:00
[2025/04/04 14:04:04] [DEBUG][update] 呼び出し: price=34795.0, timestamp=2025-04-03 15:35:07, minute=2025-04-03 15:35:00
[2025/04/04 14:04:04] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:08, minute=2025-04-03 15:35:00
[2025/04/04 14:04:04] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:08, minute=2025-04-03 15:35:00
[2025/04/04 14:04:04] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:08, minute=2025-04-03 15:35:00
[2025/04/04 14:04:04] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:08, minute=2025-04-03 15:35:00
[2025/04/04 14:04:04] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:08, minute=2025-04-03 15:35:00
[2025/04/04 14:04:04] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:08, minute=2025-04-03 15:35:00
[2025/04/04 14:04:04] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:08, minute=2025-04-03 15:35:00
[2025/04/04 14:04:04] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:09, minute=2025-04-03 15:35:00
[2025/04/04 14:04:05] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:09, minute=2025-04-03 15:35:00
[2025/04/04 14:04:05] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:09, minute=2025-04-03 15:35:00
[2025/04/04 14:04:05] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:09, minute=2025-04-03 15:35:00
[2025/04/04 14:04:05] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:09, minute=2025-04-03 15:35:00
[2025/04/04 14:04:05] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:09, minute=2025-04-03 15:35:00
[2025/04/04 14:04:05] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:09, minute=2025-04-03 15:35:00
[2025/04/04 14:04:05] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:09, minute=2025-04-03 15:35:00
[2025/04/04 14:04:05] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:09, minute=2025-04-03 15:35:00
[2025/04/04 14:04:05] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:09, minute=2025-04-03 15:35:00
[2025/04/04 14:04:06] [DEBUG][update] 呼び出し: price=34785.0, timestamp=2025-04-03 15:35:09, minute=2025-04-03 15:35:00
[2025/04/04 14:04:06] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:10, minute=2025-04-03 15:35:00
[2025/04/04 14:04:06] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:10, minute=2025-04-03 15:35:00
[2025/04/04 14:04:06] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:10, minute=2025-04-03 15:35:00
[2025/04/04 14:04:06] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:10, minute=2025-04-03 15:35:00
[2025/04/04 14:04:06] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:10, minute=2025-04-03 15:35:00
[2025/04/04 14:04:06] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:10, minute=2025-04-03 15:35:00
[2025/04/04 14:04:06] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:10, minute=2025-04-03 15:35:00
[2025/04/04 14:04:06] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:10, minute=2025-04-03 15:35:00
[2025/04/04 14:04:07] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:10, minute=2025-04-03 15:35:00
[2025/04/04 14:04:07] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:10, minute=2025-04-03 15:35:00
[2025/04/04 14:04:07] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:11, minute=2025-04-03 15:35:00
[2025/04/04 14:04:07] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:12, minute=2025-04-03 15:35:00
[2025/04/04 14:04:07] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:12, minute=2025-04-03 15:35:00
[2025/04/04 14:04:07] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:12, minute=2025-04-03 15:35:00
[2025/04/04 14:04:07] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:12, minute=2025-04-03 15:35:00
[2025/04/04 14:04:07] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:12, minute=2025-04-03 15:35:00
[2025/04/04 14:04:08] [DEBUG][update] 呼び出し: price=34790.0, timestamp=2025-04-03 15:35:12, minute=2025-04-03 15:35:00
